833B : BPL 8331       : A=18 X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=18 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=18 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=18 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=18 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=18 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=30 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=30 X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=30 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=30 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=30 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=30 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=30 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=60 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=60 X=8A Y=7C SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=60 X=8A Y=7B SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=60 X=8A Y=7B SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=60 X=8A Y=7B SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=60 X=8A Y=7B SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=60 X=8A Y=7B SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=C0 X=8A Y=7B SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=C0 X=8A Y=7B SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
