833A : ROL A          : A=F8 X=8A Y=7D SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=F8 X=8A Y=7D SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833D : CPY 30         : A=F8 X=8A Y=7D SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833F : STY 30         : A=F8 X=8A Y=7D SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-7D:70000000:00:00 = +5.46875000E-02 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8341 : BCC 8345       : A=F8 X=8A Y=7D SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-7D:70000000:00:00 = +5.46875000E-02 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8345 : TAY            : A=F8 X=8A Y=F8 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-7D:70000000:00:00 = +5.46875000E-02 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8346 : STA 31         : A=F8 X=8A Y=F8 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-7D:F8000000:00:00 = +1.21093750E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8348 : RTS            : A=F8 X=8A Y=F8 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-7D:F8000000:00:00 = +1.21093750E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
A712 : LDA 35         : A=00 X=8A Y=F8 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-7D:F8000000:00:00 = +1.21093750E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
A714 : BPL A725       : A=00 X=8A Y=F8 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-7D:F8000000:00:00 = +1.21093750E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
